date,Price,,
2016-01-24,4850,,
2016-01-23,4800,,
2016-01-22,4800,,
2016-01-21,4900,,
2016-01-20,4860,,
2016-01-19,4730,,
2016-01-18,4690,,
2016-01-17,4780,,
2016-01-16,4820,,
2016-01-15,4810,,
2016-01-14,4580,,
2016-01-13,4360,,
2016-01-12,4290,,
2016-01-11,4250,,
2016-01-10,4410,,
2016-01-09,4500,,
2016-01-08,4280,,
2016-01-07,3910,,
2016-01-06,3950,,
2016-01-05,3870,,
2016-01-04,3930,,
2016-01-03,3990,,
2016-01-02,3940,,
2016-01-01,3980,,
2015-12-31,3870,,
2015-12-30,3840,,
2015-12-29,4010,,
2015-12-28,3900,,
2015-12-27,3940,,
2015-12-26,4010,,
2015-12-25,4050,,
2015-12-24,4090,,
2015-12-23,4030,,
2015-12-22,3840,,
2015-12-21,3990,,
2015-12-20,4070,,
2015-12-19,4100,,
2015-12-18,4070,,
2015-12-17,4140,,
2015-12-16,4100,,
2015-12-15,4120,,
2015-12-14,4260,,
2015-12-13,4270,,
2015-12-12,4420,,
2015-12-11,4410,,
2015-12-10,4420,,
2015-12-09,4490,,
2015-12-08,4670,,
2015-12-07,4420,,
2015-12-06,4590,,
2015-12-05,4270,,
2015-12-04,3840,,
2015-12-03,4020,,
2015-12-02,4190,,
2015-12-01,4190,,
2015-11-30,4250,,
2015-11-29,4590,,
2015-11-28,4390,,
2015-11-27,4230,,
2015-11-26,4230,,
2015-11-25,4180,,
2015-11-24,4170,,
2015-11-23,4130,,
2015-11-22,4020,,
2015-11-21,4020,,
2015-11-20,4180,,
2015-11-19,4290,,
2015-11-18,4250,,
2015-11-17,4260,,
2015-11-16,4290,,
2015-11-15,4190,,
2015-11-14,4170,,
2015-11-13,4040,,
2015-11-12,3760,,
2015-11-11,3810,,
2015-11-10,3710,,
2015-11-09,3670,,
2015-11-08,3740,,
2015-11-07,3780,,
2015-11-06,3860,,
2015-11-05,3850,,
2015-11-04,3850,,
2015-11-03,3700,,
2015-11-02,3860,,
2015-11-01,3770,,
2015-10-31,3670,,
2015-10-30,3540,,
2015-10-29,3610,,
2015-10-28,3560,,
2015-10-27,3740,,
2015-10-26,3810,,
2015-10-25,3720,,
2015-10-24,3800,,
2015-10-23,3700,,
2015-10-22,3640,,
2015-10-21,3780,,
2015-10-20,3770,,
2015-10-19,3750,,
2015-10-18,3850,,
2015-10-17,3800,,
2015-10-16,3810,,
2015-10-15,3510,,
2015-10-14,3590,,
2015-10-13,3830,,
2015-10-12,3460,,
2015-10-11,3720,,
2015-10-10,3750,,
2015-10-09,3830,,
2015-10-08,3730,,
2015-10-07,3770,,
2015-10-06,3740,,
2015-10-05,3730,,
2015-10-04,3870,,
2015-10-03,3720,,
2015-10-02,3750,,
2015-10-01,3770,,
2015-09-30,3730,,
2015-09-29,3770,,
2015-09-28,3760,,
2015-09-27,3810,,
2015-09-26,3810,,
2015-09-25,3960,,
2015-09-24,3910,,
2015-09-23,3900,,
2015-09-22,3710,,
2015-09-21,3690,,
2015-09-20,3750,,
2015-09-19,3800,,
2015-09-18,3710,,
2015-09-17,3520,,
2015-09-16,3660,,
2015-09-15,3610,,
2015-09-14,3630,,
2015-09-13,3650,,
2015-09-12,3700,,
2015-09-11,3740,,
2015-09-10,3600,,
2015-09-09,3580,,
2015-09-08,3590,,
2015-09-07,3780,,
2015-09-06,3770,,
2015-09-05,3720,,
2015-09-04,3770,,
2015-09-03,3710,,
2015-09-02,3860,,
2015-09-01,3870,,
2015-08-31,3640,,
2015-08-30,3630,,
2015-08-29,3610,,
2015-08-28,3530,,
2015-08-27,3500,,
2015-08-26,3450,,
2015-08-25,3590,,
2015-08-24,3450,,
2015-08-23,3510,,
2015-08-22,3350,,
2015-08-21,3260,,
2015-08-20,3350,,
2015-08-19,3390,,
2015-08-18,3310,,
2015-08-17,3480,,
2015-08-16,3550,,
2015-08-15,3620,,
2015-08-14,3530,,
2015-08-13,3550,,
2015-08-12,3540,,
2015-08-11,3530,,
2015-08-10,3550,,
2015-08-09,3510,,
2015-08-08,3580,,
2015-08-07,3650,,
2015-08-06,3650,,
2015-08-05,3630,,
2015-08-04,3680,,
2015-08-03,3600,,
2015-08-02,3620,,
2015-08-01,3540,,
2015-07-31,3570,,
2015-07-30,3540,,
2015-07-29,3580,,
2015-07-28,3690,,
2015-07-27,3870,,
2015-07-26,3950,,
2015-07-25,3990,,
2015-07-24,4000,,
2015-07-23,4020,,
2015-07-22,4100,,
2015-07-21,4030,,
2015-07-20,4220,,
2015-07-19,4370,,
2015-07-18,4320,,
2015-07-17,4250,,
2015-07-16,4130,,
2015-07-15,4160,,
2015-07-14,4270,,
2015-07-13,4560,,
2015-07-12,4840,,
2015-07-11,4850,,
2015-07-10,4770,,
2015-07-09,4860,,
2015-07-08,4920,,
2015-07-07,4910,,
2015-07-06,5060,,
2015-07-05,5140,,
2015-07-04,5180,,
2015-07-03,5140,,
2015-07-02,5260,,
2015-07-01,5170,,
2015-06-30,5060,,
2015-06-29,5000,,
2015-06-28,4780,,
2015-06-27,4960,,
2015-06-26,5150,,
2015-06-25,4640,,
2015-06-24,4380,,
2015-06-23,4400,,
2015-06-22,4270,,
2015-06-21,4300,,
2015-06-20,4490,,
2015-06-19,4130,,
2015-06-18,4080,,
2015-06-17,4200,,
2015-06-16,4260,,
2015-06-15,4060,,
2015-06-14,4130,,
2015-06-13,4240,,
2015-06-12,3860,,
2015-06-11,3740,,
2015-06-10,3790,,
2015-06-09,3860,,
2015-06-08,3730,,
2015-06-07,3910,,
2015-06-06,3930,,
2015-06-05,3830,,
2015-06-04,3930,,
2015-06-03,3830,,
2015-06-02,3780,,
2015-06-01,3880,,
2015-05-31,3940,,
2015-05-30,3910,,
2015-05-29,3680,,
2015-05-28,3870,,
2015-05-27,3780,,
2015-05-26,4010,,
2015-05-25,4000,,
2015-05-24,3890,,
2015-05-23,4120,,
2015-05-22,4200,,
2015-05-21,4060,,
2015-05-20,4110,,
2015-05-19,3910,,
2015-05-18,3920,,
2015-05-17,4040,,
2015-05-16,4070,,
2015-05-15,4010,,
2015-05-14,4030,,
2015-05-13,4020,,
